terang,terang
kecewa,kecewa
pelayanan,layan
,
kali,kali
transaksi,transaksi
bayar,bayar
batalkan,batal
sistem,sistem
dibeli,beli
butuhkan,butuh
tolong,tolong
kedepannya,depan
mudah,mudah
membatalkan,batal
pembayaran,bayar
niat,niat
perubahan,ubah
komplain,komplain
merugikan,rugi
enak,enak
opsi,opsi
pengiriman,kirim
diaktifkan,aktif
terpilih,pilih
pesanan,pesan
kayak,kayak
sebelah,belah
anteraja,anteraja
jnt,jnt
express,express
kemahalan,mahal
ongkos kirim,ongkos kirim
ribu,ribu
paket,paket
ambil,ambil
kupon,kupon
pengguna,guna
potongan,potong
syaratnya,syarat
biaya,biaya
bank,bank
transfer,transfer
baca,baca
dimasuki,masuk
layanan,layan
coba,coba
tambahan,tambah
ekspedisi,ekspedisi
kasih,kasih
ruang,ruang
tersendiri,sendiri
poin,poin
kurir,kurir
surat pemberitahuan tahunan,surat pemberitahuan tahun
contoh,contoh
berdiskusi,diskus
pesan,pesan
langsung,langsung
permasalah,masa
penilaian,nilai
rating,rating
ulasan,ulas
selesai,selesai
pertimbangan,timbang
ke depan,ke depan
nya,nya
memilih,pilih
kinerjanya,kerja
harga,harga
oke,oke
pas,pas
rincianya,rincianya
senang,senang
murah,murah
mahal,mahal
respon,respon
penjual,jual
kirim,kirim
barang,barang
sesuai,sesuai
kemasan,kemas
mengecewakan,kecewa
kualitas,kualitas
diperbaiki,baik
utama,utama
on,on
nominal,nominal
rincian,rincian
nilai,nilai
sempurna,sempurna
pakai,pakai
pilihan,pilih
diseleksi,seleksi
kualitasnya,kualitas
terlambat,lambat
bergerak,gerak
transit,transit
buruk,buruk
rekan,rekan
memasang,pasang
ai,ai
puas,puas
solutif,solutif
konsumen,konsumen
dibayar,bayar
seller,seller
bertambah,tambah
amburadul,amburadul
tokopedia,tokopedia
diskon,diskon
belanja,belanja
batal,batal
dibatalkan,batal
stok,stok
kosong,kosong
diaplikasi,aplikasi
ditoko,toko
syarat,syarat
ketentuan,tentu
barangnya,barang
dibutuhkan,butuh
susah,susah
malas,malas
aplikasi,aplikasi
mantap,mantap
versi,versi
terbaru,baru
buka,buka
feed,feed
boros,boros
data,data
video,video
dimatikan,mati
pengaturan,atur
aplikasinya,aplikasi
scroll,scroll
mengalir,alir
suka,suka
tanggal,tanggal
promo,promo
cantik,cantik
gratis,gratis
minimal,minimal
berat,berat
kadang,kadang
seharga,harga
dipertimbangkan,timbang
usang,usang
penjawab,jawab
otomatis,otomatis
beli,beli
jasa,jasa
tampilannya,tampil
jaman dulu,jaman dulu
dibandingkan,banding
shopee,shopee
kalah,kalah
menarik,tarik
cenderung,cenderung
sepi,sepi
ramai,ramai
lengkap,lengkap
sumber daya manusia,sumber daya manusia
pengembangnya,kembang
gagap teknologi,gagap teknologi
nakal,nakal
kategori,kategori
penipu,tipu
berkutat,kutat
marketplace,marketplace
diterima,terima
pembeli,beli
kebanyakan,banyak
berbeda,beda
gambar,gambar
deskripsi,deskripsi
unboxing,unboxing
diwajibkan,wajib
disediakan,sedia
space,space
unggah,unggah
membukanya,buka
akal,akal
akalan,akal
buntutnya,buntut
rugi,rugi
disalahkan,salah
kota,kota
berjarak,jarak
menunggu,tunggu
kacau,kacau
terlanjut,lanjut
chekout,chekout
konfirmasi,konfirmasi
membutuhkan,butuh
sistemnya,sistem
biar,biar
kenyamanan,nyaman
berbelanja,belanja
onlinenya,onlinenya
transaksinya,transaksi
ditambah,tambah
cashback,cashback
bersamaan,sama
kesini,kesini
hilang,hilang
dibilang,bilang
lambat,lambat
parah,parah
maaf,maaf
loading,loading
toko,toko
sulit,sulit
dipahami,paham
mentrace,mentrace
tagihan,tagih
berjalan,jalan
gopaylater,gopaylater
diarahkan,arah
email,email
jawabannya,jawab
serahkan,serah
cicilan,cicil
memahami,paham
melacak,lacak
sekian,sekian
habis,habis
diberitahu,diberitahu
disuruh,suruh
alfamart,alfamart
parkiran,parkir
pesanannya,pesan
alasan,alas
uang,uang
saldo,saldo
dibelanjakan,belanja
online,online
terpaksa,paksa
aduh,aduh
di sini,di sini
membandingkan,banding
orange,orange
aku rasa,aku rasa
jakarta,jakarta
reguler,reguler
berkurang,kurang
nombok,nombok
perbedaannya,beda
dipermudah,mudah
dipersulit,sulit
contohnya,contoh
nomor,nomor
memenuhi,penuh
proses,proses
bedaain,bedaain
perbaiki,baik
bintang,bintang
pembatalan,batal
pengembaliannya,kembali
dibatalkannya,batal
pengurangan,kurang
pengirimannya,kirim
ditingkatkan,tingkat
pelayanannya,layan
refund,refund
ampun,ampun
kiraan,kira
oren,oren
sial,sial
dipakai,pakai
cancel,cancel
uangnya,uang
minim,minim
ditarik,tarik
kapok,kapok
hijau,hijau
nurun,nurun
over,over
dana,dana
apapun,apa
hasil,hasil
check,check
berdasarkan,dasar
pembelian,beli
zaman,zaman
bahula,bahula
bebas,bebas
digabung,gabung
voucer,voucer
membantu,bantu
pilih,pilih
jujur,jujur
daya,daya
minat,minat
luntur,luntur
drastis,drastis
banget,banget
salah,salah
penjualan,jual
estimasi,estimasi
ditetapkan,tetap
ubah,ubah
pantas saja,pantas saja
dimana,mana
cuannya,cuannya
camkan,cam
terindikasi,indikasi
curang,curang
jelek,jelek
niatnya,niat
majuin,majuin
startup,startup
negeri,negeri
lebih baik,lebih baik
pindah,pindah
membeli,beli
tarik,tarik
rekening,rekening
beda,beda
tertawa,tertawa
menit,menit
busuk,busuk
bagus,bagus
disayang,sayang
ongkirnya,ongkirnya
si cepat,si cepat
relevan,relevan
sayang,sayang
evaluasi,evaluasi
kecepatan,cepat
ketepatan,tepat
pembaruan,baru
klik,klik
produk,produk
keranjang,keranjang
jual,jual
kranjang,kranjang
hemat,hemat
ongkos kirimnya,ongkos kirim
ulang,ulang
diskonnya,diskon
bohong,bohong
headset,headset
doang,doang
kuponnya,kupon
hangus,hangus
selamat,selamat
just,just
memakai,pakai
everyone,everyone
go,go
away,away
easly,easly
juli,juli
status,status
pergerakan,gera
perpanjang,panjang
est,est
terima,terima
berubah,ubah
mengajukan,aju
detik,detik
di mana,di mana
kendala,kendala
tim,tim
pemasaran,pasar
iklan,iklan
muncul,muncul
game,game
mengganggu,ganggu
tombol,tombol
silang,silang
ditekan,tekan
masuk,masuk
ratusan,ratus
pengalaman,alam
mengenakan,kena
ribet,ribet
menyita,sita
simpel,simpel
penjualnya,jual
laku,laku
jualannya,jual
terima kasih,terima kasih
berbarengan,bareng
logo,logo
musik,musik
cina,cina
penanganan,tangan
dan lain lain,dan lain lain
bangkrut,bangkrut
hati,hati
saing,saing
rangkap,rangkap
hotel,hotel
lihat,lihat
kompetitor,kompetitor
kritik,kritik
fitur,fitur
signifikan,signifikan
sayangkan,sayang
perburuk,buruk
menggabungkan,gabung
mendaftarkan,daftar
plus,plus
muhajir,muhajir
beralih,alih
chasback,chasback
ditokped,ditokped
mencari,cari
termurah,murah
itunya,itu
jatuhnya,jatuh
offline,offline
warung,warung
market,market
terdekat,dekat
kena,kena
penipuan,tipu
pedia,dia
digital,digital
pemblian,pemblian
perusahaan listrik negara,usaha listrik negara
curigai,curiga
indikasi,indikasi
loloskan,lolos
iklannya,iklan
bin,bin
norak,norak
indonesia,indonesia
bombastis,bombastis
mengakuinya,aku
embel,embel
memberatkan,berat
menyenangkan,senang
akun,akun
hapir,hapir
platinum,platinum
tinggalkan,tinggal
pengeluaran,keluar
kebijakan,bijak
semoga,moga
mempertimbangkan,timbang
dirasakan,rasa
menjaga,jaga
ditawarkan,tawar
aman,aman
bea,bea
kedatangan,datang
molor,molor
united state  america,united state america
bikin,bikin
menanganinya,tangan
halaman,halaman
ajukan,aju
diklik,klik
bantuan,bantu
peduli,peduli
laman,laman
verifikasi,verifikasi
kiamat,kiamat
diretur,retur
dikirim,kirim
copot,copot
dipasang,pasang
